1,2
1,82
2,1
2,3
2,14
3,2
3,4
3,82
4,3
4,5
4,6
5,4
5,7
5,9
6,4
6,7
6,78
6,80
7,5
7,6
7,8
8,7
8,9
8,74
9,5
9,8
9,10
9,75
10,9
10,11
11,10
11,12
11,75
12,11
12,16
12,18
12,26
13,14
13,15
13,16
14,2
14,13
14,15
15,13
15,14
15,17
15,19
16,12
16,13
16,17
17,15
17,16
17,18
18,12
18,17
18,20
18,25
19,15
19,20
20,18
20,19
20,21
20,23
21,20
21,22
21,23
22,19
22,21
23,20
23,21
23,24
23,49
24,48
24,23
24,25
25,18
25,24
25,44
25,26
26,12
26,25
26,27
26,30
27,26
27,28
27,36
28,27
28,34
28,35
28,29
29,28
29,30
29,31
30,29
30,26
30,72
31,29
31,32
31,70
31,96
32,31
32,33
32,71
33,32
33,34
34,28
34,33
34,39
34,69
35,36
35,28
35,39
35,40
36,27
36,35
36,37
37,36
37,38
37,44
38,37
38,40
38,42
38,43
39,34
39,35
39,41
39,67
40,35
40,41
40,38
41,39
41,40
41,42
42,38
42,41
42,57
42,68
43,38
43,44
43,57
43,46
44,25
44,37
44,43
44,45
45,44
45,46
45,47
46,43
46,45
46,54
46,56
